Ten_Nganh,Truong,Nhom_Nganh,Khoi_Thi,MBTI_Phu_Hop,Enneagram_Phu_Hop,Diem_2023,Diem_2024,Diem_2025,Hoc_Phi,Uu_Diem,Nhuoc_Diem,Co_Hoi_Viec_Lam,Mien,Thanh_Pho
CNTT (Khoa học Máy tính),ĐH Bách Khoa Hà Nội (HUST),CNTT,A00;A01,INTJ;INTP;ENTJ;ISTJ,Type 5;Type 1;Type 3,29.1,29.3,29.5,40-50,Thương hiệu cực mạnh; Cực kỳ sâu về học thuật; Cơ hội nhận học bổng đi nước ngoài cao.,Áp lực học tập rất lớn; Yêu cầu tư duy Toán cực cao.,Kỹ sư AI; Chuyên viên Big Data; Phát triển Phần mềm cao cấp.,Miền Bắc,Hà Nội
CNTT (Hệ thống Thông tin),ĐH Công nghệ Thông tin (UIT - ĐHQG-HCM),CNTT,A01;D01;D07,ISTJ;ISFJ;INTP;INTJ,Type 5;Type 6;Type 1,27.8,28.0,28.2,35-45,Môi trường chuyên sâu CNTT; Sinh viên rất thực chiến; Cơ sở vật chất mới.,Học phí hơi cao; Cạnh tranh đầu vào gắt gao.,Quản trị CSDL; Chuyên viên ERP; Phân tích Hệ thống Kinh doanh.,Miền Nam,Hồ Chí Minh
Công nghệ Phần mềm,ĐH Bách Khoa - ĐH Đà Nẵng (DUT),CNTT,A00;A01,ENFP;ENTP;INTJ;ISTP,Type 3;Type 7;Type 5,26.5,26.7,27.0,25-30,Uy tín nhất miền Trung; Sinh viên năng động; Chi phí sinh hoạt thấp.,Cơ hội kết nối doanh nghiệp quốc tế chưa bằng HN/HCM.,Lập trình viên Full Stack; Trưởng nhóm Phát triển; Software Architect.,Miền Trung,Đà Nẵng
Kinh tế Đối ngoại,ĐH Ngoại thương - CSII (FTU),Kinh tế - QTKD,D01;A01,ENTJ;ESTJ;ENFJ;ENTP,Type 3;Type 8;Type 1,28.9,29.0,29.2,35-45,Sinh viên cực kỳ giỏi; Mạng lưới Alumni mạnh; Cơ hội việc làm toàn cầu.,Áp lực "peer pressure" cực cao; Cạnh tranh điểm chuẩn rất gắt.,Chuyên viên Xuất nhập khẩu; Quản trị Chuỗi cung ứng; Tư vấn Chiến lược.,Miền Nam,Hồ Chí Minh
Quản trị Kinh doanh,Trường Đại học Kinh tế Quốc dân (NEU),Kinh tế - QTKD,A00;A01;D01;D07,ESTJ;ENTJ;ENFP;ESFP,Type 3;Type 7;Type 8,28.1,28.2,28.4,20-40,Uy tín lâu đời; Kiến thức tổng quan rộng; Cơ hội thực tập phong phú.,Lượng sinh viên đông; Có thể cảm thấy kiến thức hơi "chung chung" ban đầu.,Nhà quản lý sơ cấp; Chuyên viên Marketing; Khởi nghiệp kinh doanh.,Miền Bắc,Hà Nội
Y đa khoa,ĐH Y Hà Nội (HMU),Y Dược,B00,INTJ;INFJ;ISFJ;ISTJ,Type 1;Type 5;Type 2,28.8,29.0,29.2,50-60,Đỉnh cao ngành Y; Cơ hội làm việc tại các bệnh viện lớn nhất.,Học 6 năm + nhiều năm nội trú; Chi phí học tập cao; Áp lực trực đêm rất lớn.,Bác sĩ điều trị chuyên khoa; Giảng viên Y khoa.,Miền Bắc,Hà Nội
Dược học,ĐH Y Dược TP.HCM (UMP),Y Dược,B00;A00,INTP;ISTJ;ISFJ;INTJ,Type 5;Type 6;Type 1,26.2,26.5,26.8,60-70,Môi trường chuyên nghiệp; Linh hoạt giữa Y học và Kinh doanh.,Học phí cao nhất cả nước; Môn học rất nặng về Hóa và Sinh.,Dược sĩ bệnh viện; Quản lý nhà thuốc; Trình dược viên cấp cao.,Miền Nam,Hồ Chí Minh
Răng - Hàm - Mặt,ĐH Y Dược - ĐH Huế (HUMP),Y Dược,B00,ISFJ;ESFJ;ISTJ;ISTP,Type 2;Type 1;Type 3,27.5,27.7,28.0,40-50,Chuyên môn cao; Cơ hội thu nhập rất hấp dẫn sau khi ra trường.,Chi phí đầu tư thiết bị học tập cao; Yêu cầu sự khéo léo tuyệt đối.,Bác sĩ Nha khoa tổng quát; Chuyên gia Thẩm mỹ Răng; Giảng viên Y khoa.,Miền Trung,Thừa Thiên - Huế
Sư phạm Ngữ văn,Trường ĐH Sư phạm Hà Nội (HNUE),Ngôn ngữ - Sư phạm,D01;C00,INFJ;INFP;ENFJ;ISFJ,Type 4;Type 2;Type 9,27.5,27.8,28.0,0,Miễn học phí; Cơ hội làm việc ổn định tại trường công; Văn hóa học thuật cao.,Áp lực đổi mới giáo dục; Thu nhập ban đầu thấp nếu chỉ dạy trường công.,Giáo viên trường công/quốc tế; Nhà biên kịch; Chuyên viên Truy truyền thông.,Miền Bắc,Hà Nội
Ngôn ngữ Nhật,ĐH Khoa học Xã hội & Nhân văn (USSH - VNU-HCM),Ngôn ngữ - Sư phạm,D01;D06,INFP;ISFJ;INTJ;ISTJ,Type 4;Type 6;Type 5,26.5,26.8,27.0,25-30,Học thuật sâu sắc; Môi trường văn hóa phong phú; Nhu cầu nhân sự tiếng Nhật cao.,Phải tự định hướng chuyên sâu; Tiếng Nhật rất khó.,Biên/Phiên dịch viên; Ngoại giao; Hướng dẫn viên quốc tế cao cấp.,Miền Nam,Hồ Chí Minh
Cơ khí (Kỹ thuật Chế tạo),ĐH Sách Khoa - ĐH Bách Khoa - ĐH Đà Nẵng (DUT),Kỹ thuật - Công nghệ,A00;A01,ISTP;ISTJ;INTP;ESTJ,Type 1;Type 6;Type 8,24.5,24.7,25.0,25-30,Thương hiệu Bách Khoa uy tín; Kỹ năng thực chiến tốt; Chi phí sinh hoạt Đà Nẵng rẻ.,Môi trường học tập nặng về lý thuyết cơ bản; Nhu cầu thực tập chưa phong phú như HCM.,Kỹ sư vận hành; Kỹ sư chế tạo; Quản lý nhà máy; Khởi nghiệp cơ khí.,Miền Trung,Đà Nẵng
Thiết kế Đồ họa,Trường Đại học Nghệ thuật - ĐH Huế (HUA),Nghệ thuật - Thiết kế,H00;H01,INFP;ISFP;ENFP;ENTP,Type 4;Type 7;Type 3,22.0,22.3,22.5,20-25,Môi trường nghệ thuật sâu sắc; Học phí rẻ; Đà Nẵng/Huế có văn hóa Nghệ thuật độc đáo.,Cơ hội việc làm thương mại chưa nhiều; Yêu cầu phải tự học kỹ năng mềm cao.,Chuyên viên Thiết kế đồ họa; Art Director; Minh họa truyện tranh; Khởi nghiệp Creative Agency.,Miền Trung,Thừa Thiên - Huế
Logistics & Quản lý Chuỗi cung ứng,ĐH Giao thông Vận tải TPHCM (UT),Kinh tế - QTKD,A01;D01;D07,ESTJ;ISTJ;ENTJ;ESTP,Type 1;Type 6;Type 3,26.1,26.3,26.5,30-40,Ngành đang rất "hot"; Cơ hội thực tập phong phú tại các cảng/công ty Logistics.,Cạnh tranh điểm chuẩn tăng gắt; Áp lực công việc cao.,Chuyên viên Vận tải; Quản trị Chuỗi cung ứng; Chuyên viên Mua hàng quốc tế.,Miền Nam,Hồ Chí Minh
Công nghệ Kỹ thuật Ô tô,ĐH Sư phạm Kỹ thuật TPHCM (HCMUTE),Kỹ thuật - Công nghệ,A00;A01;D07,ISTP;ISTJ;ESTP;ENTP,Type 1;Type 6;Type 8,26.5,26.7,27.0,30-40,Uy tín số 1 về kỹ thuật thực chiến ở miền Nam; Cơ sở vật chất Xưởng rất mạnh.,Lượng sinh viên cực đông; Cạnh tranh đầu vào và "peer pressure" cao.,Kỹ sư Ô tô; Quản lý dịch vụ Auto; Phát triển Xe điện.,Miền Nam,Hồ Chí Minh
Ngôn ngữ Anh (Biên - Phiên dịch),Trường ĐH Sư phạm - ĐH Đà Nẵng (UED),Ngôn ngữ - Sư phạm,D01;D14,INFP;ENFP;INTJ;ENTP,Type 4;Type 3;Type 7,25.8,26.0,26.2,15-20,Học phí rẻ; Sinh viên năng động; Chi phí sinh hoạt thấp tại Đà Nẵng.,Chương trình chưa có nhiều đột phá quốc tế.,Biên/Phiên dịch viên; Hướng dẫn viên quốc tế; Chuyên viên truyền thông quốc tế.,Miền Trung,Đà Nẵng
